W₀mean,W₀sd,Tmean,Tsd,var,mean,sd
0.6,0.15,30.25,0.0,n,20.8,2.7260922485067196
0.1,0.2,30.25,0.0,n,7.25,2.2213082915965963
0.225,0.2,30.25,0.0,n,7.85,1.5312533566021211
0.35,0.2,30.25,0.0,n,10.5,2.328315406378386
0.475,0.2,30.25,0.0,n,15.25,2.6332889181242134
0.6,0.2,30.25,0.0,n,24.85,2.1588252165910684
0.1,0.0,40.0,0.0,n,4.6,1.8750438591361565
0.225,0.0,40.0,0.0,n,7.45,2.7429335045761345
0.35,0.0,40.0,0.0,n,10.35,2.870448342020899
0.475,0.0,40.0,0.0,n,15.0,3.1953914182443244
0.6,0.0,40.0,0.0,n,23.0,2.0
0.1,0.05,40.0,0.0,n,5.8,2.1908902300206643
0.225,0.05,40.0,0.0,n,8.15,1.9269556026896006
0.35,0.05,40.0,0.0,n,9.4,2.1618705350983247
0.475,0.05,40.0,0.0,n,14.4,2.0104987598001385
0.6,0.05,40.0,0.0,n,22.3,2.696976865033572
0.1,0.1,40.0,0.0,n,6.7,2.364206776957237
0.225,0.1,40.0,0.0,n,7.3,2.129986409642831
0.35,0.1,40.0,0.0,n,10.95,2.2354794611117836
0.475,0.1,40.0,0.0,n,14.55,3.2682684937698157
0.6,0.1,40.0,0.0,n,21.75,3.0413812651491097
0.1,0.15,40.0,0.0,n,7.15,2.5603248149199227
0.225,0.15,40.0,0.0,n,9.2,2.7644357947251903
0.35,0.15,40.0,0.0,n,12.35,2.6011131220468307
0.475,0.15,40.0,0.0,n,15.45,2.564432839727663
0.6,0.15,40.0,0.0,n,23.6,2.458069417888334
0.1,0.2,40.0,0.0,n,7.45,1.6050905860647504
0.225,0.2,40.0,0.0,n,10.05,2.3725402775129134
0.35,0.2,40.0,0.0,n,13.95,2.6650762801367183
0.475,0.2,40.0,0.0,n,18.55,2.964260802504253
0.6,0.2,40.0,0.0,n,26.6,1.465390194130093
0.1,0.0,1.0,7.5,n,0.0,0.0
0.225,0.0,1.0,7.5,n,0.2,0.4103913408340617
0.35,0.0,1.0,7.5,n,1.8,1.0052493799000692
0.475,0.0,1.0,7.5,n,3.55,1.5719582155957414
0.6,0.0,1.0,7.5,n,5.6,1.6026294183720635
0.1,0.05,1.0,7.5,n,0.0,0.0
0.225,0.05,1.0,7.5,n,0.0,0.0
0.35,0.05,1.0,7.5,n,1.35,0.8127277008872489
0.475,0.05,1.0,7.5,n,3.7,1.4545753585442764
0.6,0.05,1.0,7.5,n,6.0,2.077447826946374
0.1,0.1,1.0,7.5,n,0.0,0.0
0.225,0.1,1.0,7.5,n,0.0,0.0
0.35,0.1,1.0,7.5,n,0.6,0.6805570473787205
0.475,0.1,1.0,7.5,n,3.15,1.3088765773505318
0.6,0.1,1.0,7.5,n,5.85,1.7252002172135512
0.1,0.15,1.0,7.5,n,0.0,0.0
0.225,0.15,1.0,7.5,n,0.0,0.0
0.35,0.15,1.0,7.5,n,0.1,0.30779350562554625
0.475,0.15,1.0,7.5,n,4.55,1.637552731171861
0.6,0.15,1.0,7.5,n,7.45,2.3050288273114594
0.1,0.2,1.0,7.5,n,0.0,0.0
0.225,0.2,1.0,7.5,n,0.0,0.0
0.35,0.2,1.0,7.5,n,0.0,0.0
0.475,0.2,1.0,7.5,n,5.75,2.0742785683093214
0.6,0.2,1.0,7.5,n,15.75,2.712058841156426
0.1,0.0,10.75,7.5,n,2.15,1.598519051464429
0.225,0.0,10.75,7.5,n,3.25,1.446411166701189
0.35,0.0,10.75,7.5,n,3.95,1.7614288458371994
0.475,0.0,10.75,7.5,n,6.7,2.2501461940809184
0.6,0.0,10.75,7.5,n,13.9,2.6337885460422137
0.1,0.05,10.75,7.5,n,1.75,0.7163503994113789
0.225,0.05,10.75,7.5,n,2.9,1.2937094768634556
0.35,0.05,10.75,7.5,n,4.3,1.8666040089734592
0.475,0.05,10.75,7.5,n,6.95,2.5230516193063135
0.6,0.05,10.75,7.5,n,11.25,2.593006789525688
0.1,0.1,10.75,7.5,n,2.25,1.3717065820970682
0.225,0.1,10.75,7.5,n,2.7,1.260743306232687
0.35,0.1,10.75,7.5,n,4.5,2.090076805438398
0.475,0.1,10.75,7.5,n,7.05,1.7614288458371994
0.6,0.1,10.75,7.5,n,11.7,2.657660229362821
0.1,0.15,10.75,7.5,n,2.2,1.105012502906165
0.225,0.15,10.75,7.5,n,4.25,2.0994986870303363
0.35,0.15,10.75,7.5,n,5.95,2.394621165511528
0.475,0.15,10.75,7.5,n,7.6,2.087557121815378
0.6,0.15,10.75,7.5,n,14.15,2.978431236671236
0.1,0.2,10.75,7.5,n,3.25,0.9665456669582609
0.225,0.2,10.75,7.5,n,4.65,2.3902213066443956
0.35,0.2,10.75,7.5,n,7.15,2.058998223459779
0.475,0.2,10.75,7.5,n,8.8,1.6733200530681511
0.6,0.2,10.75,7.5,n,19.9,4.48271534252458
0.1,0.0,20.5,7.5,n,2.55,1.3562719801759993
0.225,0.0,20.5,7.5,n,4.95,2.5230516193063135
0.35,0.0,20.5,7.5,n,6.8,2.2618111047751555
0.475,0.0,20.5,7.5,n,9.35,2.758241239783443
0.6,0.0,20.5,7.5,n,16.05,3.0517466957034363
0.1,0.05,20.5,7.5,n,3.45,1.700619082322051
0.225,0.05,20.5,7.5,n,4.3,2.02874085917453
0.35,0.05,20.5,7.5,n,7.2,2.4192212753171978
0.475,0.05,20.5,7.5,n,9.2,2.667543715421401
0.6,0.05,20.5,7.5,n,16.55,2.9464519251751624
0.1,0.1,20.5,7.5,n,3.7,1.9761738683361687
0.225,0.1,20.5,7.5,n,5.6,2.1618705350983247
0.35,0.1,20.5,7.5,n,6.95,2.235479461111784
0.475,0.1,20.5,7.5,n,9.5,3.0
0.6,0.1,20.5,7.5,n,15.8,2.7644357947251903
0.1,0.15,20.5,7.5,n,3.6,1.6670175069329813
0.225,0.15,20.5,7.5,n,6.05,2.438183102661747
0.35,0.15,20.5,7.5,n,7.4,2.7414940221864814
0.475,0.15,20.5,7.5,n,10.05,1.5719582155957412
0.6,0.15,20.5,7.5,n,17.15,3.7595492450978467
0.1,0.2,20.5,7.5,n,4.95,2.502104377476982
0.225,0.2,20.5,7.5,n,6.6,1.9303667499917432
0.35,0.2,20.5,7.5,n,8.0,2.7144835701531846
0.475,0.2,20.5,7.5,n,11.7,2.5975697143777743
0.6,0.2,20.5,7.5,n,22.65,2.4553914898486253
0.1,0.0,30.25,7.5,n,3.9,2.425739171122029
0.225,0.0,30.25,7.5,n,5.9,1.6827296120792612
0.35,0.0,30.25,7.5,n,7.85,2.3232237130876205
0.475,0.0,30.25,7.5,n,13.35,2.888725816360089
0.6,0.0,30.25,7.5,n,19.8,2.894641146743591
0.1,0.05,30.25,7.5,n,3.65,1.3869694338832115
0.225,0.05,30.25,7.5,n,6.25,2.173403830521681
0.35,0.05,30.25,7.5,n,8.55,2.9285347512832565
