total_precip,n_coex,spp_id,canopy_cover,starting_swc,ending_swc,avg_height
0.15656565656565657,10,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.39970719216214917,0.11618787425504229,0.08487474294191098,0.0038446154349839577
0.1707070707070707,11,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.44618846346713603,0.11901615708332512,0.08487474294191098,0.0041043442966029
0.18484848484848485,13,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.4958061258226192,0.12184443991160795,0.08487474294191098,0.0042384699799916424
0.198989898989899,16,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.5481910627099374,0.12467272273989077,0.08487474294191098,0.004305277334514766
0.21313131313131314,16,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.6026419975418544,0.12750100556817362,0.08487474294191098,0.004338533613507627
0.22727272727272727,17,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.6589350676343945,0.13032928839645644,0.08487474294191098,0.004512403795830269
0.24141414141414141,17,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.7167793426339099,0.13315757122473926,0.08487474294191098,0.004775002686657907
0.25555555555555554,17,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.7768509147578642,0.1359858540530221,0.08487474294191098,0.004902150825451665
0.2696969696969697,17,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.8381228126670472,0.13881413688130492,0.08487474294191098,0.004983773359359015
0.28383838383838383,18,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.8996911136913253,0.14164241970958774,0.08487474294191098,0.0050451825530535175
0.29797979797979796,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.966235211111228,0.1444707025378706,0.08487474294191098,0.005076009834029061
0.31212121212121213,13,"[1, 3, 5, 7, 9, 11, 12, 13, 14, 17, 18, 19, 20]",1.0000071636635361,0.1472989853661534,0.08487474294191098,0.005852627054250756
0.32626262626262625,10,"[1, 3, 5, 7, 9, 11, 12, 14, 19, 20]",0.9999602103122847,0.15191467940244338,0.08666215444113289,0.007630898420751478
0.34040404040404043,9,"[1, 3, 5, 7, 9, 11, 12, 14, 19]",1.0000079275649072,0.15474343877860205,0.08666263069779397,0.008393644797579546
0.35454545454545455,9,"[1, 3, 5, 7, 9, 11, 12, 14, 19]",0.9999501286166388,0.15757172160688487,0.08666263069779397,0.00903110083624475
0.3686868686868687,9,"[1, 3, 5, 7, 9, 11, 12, 14, 19]",0.9999254329823444,0.16040000443516772,0.08666263069779397,0.009563182646436972
0.38282828282828285,9,"[1, 3, 5, 7, 9, 11, 12, 14, 19]",0.9999902684002926,0.16322828726345054,0.08666263069779397,0.010036581197513782
0.396969696969697,10,"[1, 3, 5, 7, 9, 11, 12, 13, 14, 19]",0.9999909323091699,0.16902146912705623,0.0896274905216559,0.010894386012986593
0.4111111111111111,10,"[1, 3, 5, 7, 9, 11, 12, 13, 14, 19]",0.9999846900275562,0.1725930377751434,0.09036984711270828,0.011201680601284892
0.42525252525252527,9,"[1, 3, 5, 7, 9, 11, 12, 13, 14]",1.0001900526425833,0.17624862355029158,0.09119809694771219,0.011504810614797531
