storm_frequency,n_coex,spp_id,canopy_cover,starting_swc,ending_swc,avg_height
4.0,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5266023146085583,0.13776731948442916,0.08776731948442916,0.008438927201943232
4.205128205128205,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5537061533918556,0.13776731948442916,0.08776731948442916,0.00821399680600346
4.410256410256411,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5807935578183768,0.13776731948442916,0.08776731948442916,0.008005570564529309
4.615384615384615,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6077894288031729,0.13776731948442916,0.08776731948442916,0.007814905459689714
4.82051282051282,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6349085717246292,0.13776731948442916,0.08776731948442916,0.007633832621148808
5.0256410256410255,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6620173846738439,0.13776731948442916,0.08776731948442916,0.007464383560799476
5.230769230769231,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6891134003325643,0.13776731948442916,0.08776731948442916,0.007305367915053753
5.435897435897436,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7161872323386015,0.13776731948442916,0.08776731948442916,0.0071557407922425795
5.641025641025641,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.743203654168092,0.13776731948442916,0.08776731948442916,0.007017079165271943
5.846153846153846,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7703011272462568,0.13776731948442916,0.08776731948442916,0.006883623720339202
6.051282051282051,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.797384974587795,0.13776731948442916,0.08776731948442916,0.006757254081713843
6.256410256410256,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8244501466654733,0.13776731948442916,0.08776731948442916,0.006637369879465645
6.461538461538462,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8513861061748134,0.13776731948442916,0.08776731948442916,0.006523316728444658
6.666666666666667,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8780669709670803,0.13776731948442916,0.08776731948442916,0.006416415283251405
6.871794871794871,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9040954211313108,0.13776731948442916,0.08776731948442916,0.006313570073227588
7.076923076923077,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9288077331892586,0.13776731948442916,0.08776731948442916,0.006212553442285852
7.282051282051282,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9999928464058474,0.13955823739549467,0.08955799128271268,0.006234096735302288
7.487179487179487,5,"[1, 3, 5, 7, 9]",0.999999065193087,0.13964830893117913,0.08964830893117914,0.006457247585918864
7.6923076923076925,5,"[1, 3, 5, 7, 9]",0.9999996732326564,0.13964830893117913,0.08964830893117914,0.006652943525845034
7.897435897435898,5,"[1, 3, 5, 7, 9]",0.9999851838086703,0.14152657041909977,0.09152654665895033,0.007482326727171705
8.102564102564102,4,"[1, 3, 5, 7]",1.0000028763469395,0.14336939941560667,0.09336936243918152,0.008139162861494593
8.307692307692308,4,"[1, 3, 4, 5]",0.9998529870176254,0.14842295080817058,0.09842296422058064,0.008847850931303539
8.512820512820513,4,"[1, 3, 4, 5]",1.000049183170248,0.14867109634761477,0.09867111304862926,0.00882312453176828
8.717948717948717,3,"[1, 3, 5]",1.0000000819528467,0.14869610813487225,0.09869611210765047,0.008782759671408612
8.923076923076923,3,"[1, 3, 5]",0.9997935376113459,0.1486998616781271,0.09869986245956285,0.008742489263820697
9.128205128205128,2,"[1, 3]",0.9998060969680604,0.14870052285482363,0.09870052285482363,0.008728829466411559
9.333333333333334,3,"[1, 2, 3]",1.0003414775805688,0.1565540252844288,0.10655419858491243,0.009062802875514931
9.538461538461538,3,"[1, 2, 3]",0.9999923274622939,0.1567151312254195,0.10671515951806952,0.00898378148035705
9.743589743589743,2,"[1, 3]",1.0003602291134424,0.15673307972540326,0.10673308954715657,0.00890421739114939
9.948717948717949,2,"[1, 3]",1.0003534444639128,0.1567379019091118,0.10673790545363758,0.008826515512660246
10.153846153846153,2,"[1, 3]",1.0000000399183875,0.1567394959754166,0.1067394975117619,0.008751147567684792
10.35897435897436,2,"[1, 3]",1.0003760506996455,0.15674006099075938,0.10674006162303826,0.008677375192084745
10.564102564102564,1,[1],0.9996127504882076,0.15674039742527385,0.10674039753592865,0.00860550276511167
10.76923076923077,1,[1],1.0003861978096,0.15674043484853084,0.10674043490057987,0.008535776126996093
10.974358974358974,1,[1],0.999990619225269,0.15674046213704088,0.10674046213704087,0.008467436993631968
11.179487179487179,1,[1],0.9998186684412995,0.15674046213704088,0.10674046213704087,0.008400900933260184
11.384615384615385,1,[1],0.9996257291779992,0.15674046213704088,0.10674046213704087,0.008336002367300806
11.58974358974359,1,[1],0.9999949901857123,0.6,0.5500299945805529,0.008271955385069819
11.794871794871796,1,[1],0.9999963268828597,0.6,0.5509019687256279,0.008195267039892363
12.0,1,[1],0.9996314988471565,0.6,0.5517435878217618,0.008120602650689476
